leg,stimuli,EO,response
VF3,acet_before,EO4444,97.2972973
VF3,0.1,EO4444,105.8149058
VF3,0.25,EO4444,92.71089271
VF3,0.5,EO4444,101.2285012
VF3,1,EO4444,88.77968878
VF3,2.5,EO4444,95.33169533
VF3,5,EO4444,87.46928747
VF3,acet_after,EO4444,75.51187551
VF5,acet_before,EO4444,120.2230106
VF5,0.1,EO4444,91.02889002
VF5,0.25,EO4444,82.51393817
VF5,0.5,EO4444,75.41814496
VF5,1,EO4444,57.78003041
VF5,2.5,EO4444,46.22402433
VF5,5,EO4444,48.25139382
VF5,acet_after,EO4444,45.21033958
VF6,acet_before,EO4444,111.0423117
VF6,0.1,EO4444,138.9060888
VF6,0.25,EO4444,138.2868937
VF6,0.5,EO4444,101.1351909
VF6,1,EO4444,99.89680083
VF6,2.5,EO4444,110.2167183
VF6,5,EO4444,98.24561404
VF6,acet_after,EO4444,102.9927761
VF7,acet_before,EO4444,110.6833494
VF7,0.1,EO4444,117.4205967
VF7,0.25,EO4444,116.0731473
VF7,0.5,EO4444,94.89894129
VF7,1,EO4444,87.58421559
VF7,2.5,EO4444,96.8238691
VF7,5,EO4444,90.27911453
VF7,acet_after,EO4444,106.0635226
VF8,acet_before,EO4444,83.43409915
VF8,0.1,EO4444,80.89480048
VF8,0.25,EO4444,116.0822249
VF8,0.5,EO4444,138.9359129
VF8,1,EO4444,129.8669891
VF8,2.5,EO4444,111.7291415
VF8,5,EO4444,72.18863362
VF8,acet_after,EO4444,162.1523579
VF9,acet_before,EO4444,124.9637856
VF9,0.1,EO4444,141.187832
VF9,0.25,EO4444,82.08594882
VF9,0.5,EO4444,68.56591019
VF9,1,EO4444,89.61854177
VF9,2.5,EO4444,84.01738291
VF9,5,EO4444,94.44712699
VF9,acet_after,EO4444,98.11685176
VF10,acet_before,EO4444,97.2765631
VF10,0.1,EO4444,100.4986575
VF10,0.25,EO4444,83.92788646
VF10,0.5,EO4444,92.67357115
